university	faculty	department	kyotsu_total	kyotsu_kokugo	kyotsu_chireki	kyotsu_sugaku	kyotsu_rika	kyotsu_gaikokugo	kyotsu_joho	niji_total	niji_kokugo	niji_sugaku	niji_rika	niji_gaikokugo	sotal
京都大学	工学部	情報学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
京都大学	工学部	物理工学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
京都大学	工学部	電気電子工学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
京都大学	工学部	建築学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
京都大学	工学部	地球工学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
京都大学	工学部	理工化学科	225	25	50	25	25	50	50	800	100	250	250	200	1025
